,2021,,,,,,2022,,,,,,2023,,,,,,2024,,,,,,2025,,,,,
,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,
국가명,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공,계,적,공
합계,"1,864,930","1,602,184","262,747","22,706,124","19,545,081","3,161,043","1,740,410","1,437,904","302,506","22,076,785","18,706,088","3,370,697","1,916,583","1,588,144","328,439","23,152,998","19,255,132","3,897,866","2,067,420","1,750,963","316,457","24,402,020","20,343,929","4,058,092","2,086,549","1,720,674","365,875","24,882,345","20,414,363","4,467,982"
가나,234,234,0,"5,227","5,221",6,934,435,499,"7,854","5,612","2,242",776,676,100,"10,318","8,159","2,159","1,172","1,172",0,"11,466","8,924","2,542",926,608,318,"10,342","8,093","2,249"
가봉,17,17,0,863,863,0,73,73,0,976,976,0,144,144,0,"1,915","1,915",0,649,649,0,"2,906","2,906",0,195,195,0,"2,301","2,301",0
가이아나,279,279,0,"4,335","4,333",2,782,782,0,"6,066","6,063",3,686,686,0,"10,614","10,595",19,332,327,5,"6,545","6,540",5,757,757,0,"6,676","6,667",9
감비아,8,8,0,89,89,0,26,26,0,174,174,0,35,35,0,278,278,0,17,17,0,464,464,0,19,19,0,244,244,0
과들루프,9,9,0,121,121,0,37,37,0,495,495,0,50,50,0,559,559,0,55,55,0,654,654,0,20,20,0,710,665,45
과테말라,"2,520","2,506",14,"34,187","32,848","1,339","3,895","3,131",764,"40,384","37,662","2,722","3,488","3,486",2,"48,024","46,425","1,599","5,771","5,771",0,"63,696","62,710",986,"4,563","4,352",211,"67,308","60,485","6,823"
괌,830,797,33,"18,229","10,702","7,528","2,939",867,"2,073","23,911","10,704","13,208","2,801",859,"1,943","26,166","11,722","14,444","2,448",409,"2,038","22,905","5,924","16,980","2,032","1,097",935,"26,403","9,186","17,217"
그레나다,8,8,0,181,181,0,5,5,0,320,320,0,48,48,0,731,599,132,17,17,0,314,314,0,31,31,0,344,344,0
그리스,"2,131","2,041",90,"34,608","26,657","7,951","2,442","2,296",146,"27,189","23,745","3,445","5,288","3,466","1,822","44,433","32,873","11,560","4,726","3,989",737,"41,628","33,101","8,527","1,922","1,484",438,"18,876","17,831","1,045"
기니,85,85,0,"1,234","1,234",0,118,118,0,"1,086","1,086",0,190,190,0,"1,778","1,778",0,296,296,0,"2,443","2,443",0,80,80,0,"1,381","1,381",0
기니비사우,,,,42,42,0,11,11,0,82,82,0,9,9,0,62,62,0,25,25,0,107,107,0,6,6,0,70,70,0
나미비아,84,84,0,958,958,0,62,62,0,923,917,6,247,247,0,"1,541","1,541",0,243,243,0,"2,373","2,373",0,481,481,0,"4,249","4,217",32
나우루,13,13,0,168,168,0,2,2,0,278,278,0,6,6,0,122,122,0,18,18,0,176,176,0,16,16,0,315,315,0
나이지리아,363,363,0,"6,539","6,539",0,"1,074",994,80,"10,412","9,072","1,340","1,018","1,018",0,"15,918","13,880","2,038","2,003","1,965",38,"14,716","13,945",771,"1,348","1,341",7,"13,266","13,001",265
남아프리카,"1,395","1,352",43,"22,333","21,930",403,"2,172","2,132",40,"21,547","20,713",834,"1,440","1,440",0,"22,732","22,547",185,"3,155","3,094",61,"34,092","31,906","2,186","3,817","3,817",0,"33,893","33,466",427
네덜란드,"22,205","20,222","1,983","242,774","230,685","12,089","13,109","12,588",521,"180,250","172,936","7,314","16,694","12,858","3,836","188,830","155,493","33,337","13,476","12,513",963,"190,290","167,741","22,549","12,418","11,964",454,"175,066","157,607","17,459"
노르웨이,"1,430","1,430",0,"10,559","10,485",74,"1,853","1,821",32,"10,218","10,164",54,,,,5,5,0,,,,,,,855,855,0,"8,172","8,169",3
뉴질랜드,"6,318","4,789","1,529","78,593","71,922","6,671","5,349","4,904",445,"70,916","61,176","9,740","1,313","1,313",0,"7,877","7,873",4,"1,703","1,703",0,"8,259","8,254",5,"8,767","7,061","1,706","101,045","89,961","11,084"
뉴칼레도니아,"1,134",784,350,"10,159","7,033","3,126","1,104",871,233,"12,287","9,339","2,948","5,663","4,511","1,152","74,231","60,623","13,608","5,267","4,879",388,"86,557","72,203","14,354",344,271,73,"5,627","3,743","1,884"
니카라과,"1,005","1,003",2,"8,148","8,138",10,645,645,0,"7,951","7,945",6,596,370,226,"8,684","6,021","2,663",191,158,33,"6,138","3,606","2,532",2,2,0,8,8,0
대만,"34,787","31,115","3,672","372,417","330,587","41,830","30,811","25,771","5,040","352,329","302,013","50,315",,,,,,,,,,3,3,0,"1,003",926,77,"11,822","10,804","1,018"
대한민국,"36,573","20,932","15,641","497,592","302,594","194,998","35,252","20,316","14,936","498,206","304,954","193,252","1,059","1,059",0,"9,807","9,719",88,987,987,0,"11,525","10,733",792,"26,269","21,804","4,465","319,861","248,575","71,286"
