,2024,,,,,,2025,,,,,,전년대비증감율(%),,,,,
,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,
국가명,계,적,공,계,적,공,계,적,공,계,적,공,증감_계,증감_적,증감_공,증감_계,증감_적,증감_공
합계,"2,067,420","1,750,963","316,457","24,402,020","20,343,929","4,058,092","2,086,549","1,720,674","365,875","24,882,345","20,414,363","4,467,982",0.93,-1.73,15.62,1.97,0.35,10.10
가나,"1,172","1,172",0,"11,466","8,924","2,542",926,608,318,"10,342","8,093","2,249",-20.99,-48.12,0,-9.80,-9.31,-11.53
가봉,649,649,0,"2,906","2,906",0,195,195,0,"2,301","2,301",0,-69.95,-69.95,,-20.82,-20.82,
가이아나,332,327,5,"6,545","6,540",5,757,757,0,"6,676","6,667",9,128.01,131.50,-100,2.01,1.95,80.00
감비아,17,17,0,464,464,0,19,19,0,244,244,0,11.76,11.76,,-47.41,-47.41,
과들루프,55,55,0,654,654,0,20,20,0,710,665,45,-63.64,-63.64,,8.56,1.68,0
과테말라,"5,771","5,771",0,"63,696","62,710",986,"4,563","4,352",211,"67,308","60,485","6,823",-20.93,-24.58,0,5.67,-3.55,591.99
괌,"2,448",409,"2,038","22,905","5,924","16,980","2,032","1,097",935,"26,403","9,186","17,217",-16.97,168.05,-54.12,15.27,55.06,1.39
그레나다,17,17,0,314,314,0,31,31,0,344,344,0,82.35,82.35,,9.55,9.55,
그리스,"4,726","3,989",737,"41,628","33,101","8,527","1,922","1,484",438,"18,876","17,831","1,045",-59.34,-62.81,-40.57,-54.66,-46.13,-87.75
기니,296,296,0,"2,443","2,443",0,80,80,0,"1,381","1,381",0,-72.97,-72.97,,-43.46,-43.46,
기니비사우,25,25,0,107,107,0,6,6,0,70,70,0,-76.00,-76.00,,-34.58,-34.58,
나미비아,243,243,0,"2,373","2,373",0,481,481,0,"4,249","4,217",32,97.94,97.94,,79.06,77.71,0
나우루,18,18,0,176,176,0,16,16,0,315,315,0,-11.11,-11.11,,78.98,78.98,
나이지리아,"2,003","1,965",38,"14,716","13,945",771,"1,348","1,341",7,"13,266","13,001",265,-32.70,-31.76,-81.58,-9.85,-6.77,-65.63
남아프리카,"3,155","3,094",61,"34,092","31,906","2,186","3,817","3,817",0,"33,893","33,466",427,20.98,23.37,-100,-0.58,4.89,-80.47
네덜란드,"13,476","12,513",963,"190,290","167,741","22,549","12,418","11,964",454,"175,066","157,607","17,459",-7.85,-4.39,-52.86,-8.00,-6.04,-22.57
노르웨이,"1,703","1,703",0,"8,259","8,254",5,855,855,0,"8,172","8,169",3,-49.79,-49.79,,-1.04,-1.02,-40.00
뉴질랜드,"5,267","4,879",388,"86,557","72,203","14,354","8,767","7,061","1,706","101,045","89,961","11,084",66.45,44.72,339.69,16.74,24.59,-22.78
뉴칼레도니아,191,158,33,"6,138","3,606","2,532",344,271,73,"5,627","3,743","1,884",80.10,71.52,121.21,-8.33,3.80,-25.59
니우에,,,,3,3,0,2,2,0,8,8,0,0,0,,166.67,166.67,
니카라과,987,987,0,"11,525","10,733",792,"1,003",926,77,"11,822","10,804","1,018",1.62,-6.18,0,2.58,0.66,28.54
대만,"32,488","23,826","8,662","342,220","253,694","88,527","26,269","21,804","4,465","319,861","248,575","71,286",-19.14,-8.48,-48.45,-6.53,-2.02,-19.48
대한민국,"38,550","25,096","13,454","509,602","318,524","191,078","42,244","29,825","12,419","494,000","316,060","177,941",9.58,18.85,-7.69,-3.06,-0.77,-6.88
덴마크,"1,291","1,245",46,"17,430","17,002",428,"1,694","1,484",210,"18,082","17,526",556,31.22,19.20,356.52,3.74,3.08,29.79
도미니카 공화국,"3,617","3,617",0,"43,711","42,823",888,"4,973","4,183",790,"49,033","46,040","2,993",37.49,15.65,0,12.17,7.51,237.05
도미니카 연방,23,23,0,170,170,0,1,1,0,137,137,0,-95.65,-95.65,,-19.41,-19.41,
독일,"14,538","14,172",366,"199,481","193,603","5,878","11,307","11,008",299,"163,929","157,762","6,168",-22.22,-22.33,-18.31,-17.82,-18.51,4.93
동티모르,26,26,0,215,215,0,12,11,1,108,105,3,-53.85,-57.69,0,-49.77,-51.16,0
라이베리아,36,36,0,437,437,0,40,40,0,300,300,0,11.11,11.11,,-31.31,-31.31,
라트비아,707,707,0,"11,939","11,933",6,"1,139","1,134",5,"13,773","13,680",93,61.10,60.40,0,15.36,14.64,"1,450.00"
러시아,"35,401","26,366","9,035","467,828","363,449","104,379","41,647","33,715","7,932","399,159","308,174","90,985",17.64,27.87,-12.21,-14.68,-15.21,-12.83
레바논,488,488,0,"4,035","4,035",0,491,491,0,"8,164","8,066",98,0.46,0.46,,102.32,99.89,0
레위니옹,8,8,0,293,289,4,28,28,0,273,273,0,250.00,250.00,,-6.83,-5.54,-100
루마니아,811,811,0,"18,632","18,620",12,772,772,0,"9,726","9,689",37,-4.81,-4.81,,-47.80,-47.96,208.33
리비아,258,258,0,"4,698","4,697",1,383,383,0,"6,583","6,580",3,48.55,48.55,,40.13,40.10,200.00
리투아니아,455,455,0,"5,286","5,284",2,196,196,0,"4,651","4,642",9,-56.87,-56.87,,-12.01,-12.15,350.00
마다가스카르,41,41,0,"1,347","1,347",0,177,177,0,"1,677","1,677",0,331.71,331.71,,24.50,24.50,
마르티니크,20,20,0,483,483,0,12,12,0,"1,275",562,713,-40.00,-40.00,,163.98,16.36,0
마샬 제도,502,223,279,"4,876","1,698","3,178",569,132,437,"5,776","1,521","4,255",13.35,-40.81,56.63,18.46,-10.42,33.89
마요트,,,,10,10,0,,,,46,46,0,,,,360.00,360.00,
마카오,1,1,0,6,6,0,,,,11,11,0,-100,-100,,83.33,83.33,
말레이시아,"24,326","23,174","1,152","325,491","292,958","32,533","38,991","36,931","2,060","444,482","421,790","22,692",60.29,59.37,78.82,36.56,43.98,-30.25
멕시코,"77,387","60,848","16,539","939,999","748,366","191,633","71,753","61,978","9,775","840,779","714,193","126,586",-7.28,1.86,-40.90,-10.56,-4.57,-33.94
모로코,"3,894","3,372",522,"37,402","34,092","3,310","1,421","1,419",2,"18,279","15,200","3,079",-63.51,-57.92,-99.62,-51.13,-55.42,-6.98
모리셔스,103,75,28,"1,903",978,925,128,128,0,"1,068","1,051",17,24.27,70.67,-100,-43.89,7.44,-98.16
모리타니,157,157,0,"1,857","1,857",0,115,115,0,"1,188","1,188",0,-26.75,-26.75,,-36.03,-36.03,
모잠비크,401,401,0,"5,275","5,275",0,520,520,0,"7,122","7,022",100,29.68,29.68,,35.01,33.12,0
몬세라트,,,,2,2,0,,,,3,3,0,,,,50.00,50.00,
몬테네그로,145,145,0,"1,485","1,485",0,117,117,0,"1,542","1,542",0,-19.31,-19.31,,3.84,3.84,
몰디브,13,13,0,498,498,0,27,27,0,318,317,1,107.69,107.69,,-36.14,-36.35,0
몰타,207,195,12,"2,871","1,274","1,597","1,161","1,161",0,"19,098","15,781","3,317",460.87,495.38,-100,565.20,"1,138.70",107.70
미국,"339,392","291,301","48,091","4,054,790","3,457,520","597,270","296,941","253,980","42,962","4,046,998","3,356,151","690,847",-12.51,-12.81,-10.67,-0.19,-2.93,15.67
미국령 버진아일랜드,1,1,0,38,38,0,,,,48,48,0,-100,-100,,26.32,26.32,
미얀마,375,375,0,"6,901","6,891",10,600,600,0,"6,561","6,557",4,60.00,60.00,,-4.93,-4.85,-60.00
미크로네시아,169,156,13,"2,217","2,046",171,186,184,2,"2,505","2,401",104,10.06,17.95,-84.62,12.99,17.35,-39.18
바누아투,694,431,263,"7,965","5,816","2,149","1,012",622,390,"7,593","6,333","1,260",45.82,44.32,48.29,-4.67,8.89,-41.37
바레인,541,521,20,"4,891","4,859",32,636,416,220,"10,179","6,094","4,085",17.56,-20.15,"1,000.00",108.12,25.42,"12,665.63"
