,2021,,,,,,2022,,,,,,전년대비증감율(%),,,,,
,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,,12월,,,누계(01월~12월),,
국가명,계,적,공,계,적,공,계,적,공,계,적,공,증감_계,증감_적,증감_공,증감_계,증감_적,증감_공
합계,"1,864,930","1,602,184","262,747","22,706,124","19,545,081","3,161,043","1,740,410","1,437,904","302,506","22,076,785","18,706,088","3,370,697",-6.68,-10.25,15.13,-2.77,-4.29,6.63
가나,234,234,0,"5,227","5,221",6,934,435,499,"7,854","5,612","2,242",299.15,85.90,0,50.25,7.48,"37,266.67"
가봉,17,17,0,863,863,0,73,73,0,976,976,0,329.41,329.41,,13.09,13.09,
가이아나,279,279,0,"4,335","4,333",2,782,782,0,"6,066","6,063",3,180.29,180.29,,39.94,39.93,50.00
감비아,8,8,0,89,89,0,26,26,0,174,174,0,225.00,225.00,,95.51,95.51,
과들루프,9,9,0,121,121,0,37,37,0,495,495,0,311.11,311.11,,309.09,309.09,
과테말라,"2,520","2,506",14,"34,187","32,848","1,339","3,895","3,131",764,"40,384","37,662","2,722",54.56,24.94,"5,357.14",18.13,14.66,103.29
괌,830,797,33,"18,229","10,702","7,528","2,939",867,"2,073","23,911","10,704","13,208",254.34,8.79,"6,181.06",31.17,0.02,75.46
그레나다,8,8,0,181,181,0,5,5,0,320,320,0,-37.50,-37.50,,76.55,76.55,
그리스,"2,131","2,041",90,"34,608","26,657","7,951","2,442","2,296",146,"27,189","23,745","3,445",14.60,12.52,61.67,-21.44,-10.92,-56.68
기니,85,85,0,"1,234","1,234",0,118,118,0,"1,086","1,086",0,39.12,39.12,,-11.94,-11.94,
기니비사우,,,,42,42,0,11,11,0,82,82,0,0,0,,95.24,95.24,
나미비아,84,84,0,958,958,0,62,62,0,923,917,6,-26.19,-26.19,,-3.65,-4.28,0
나우루,13,13,0,168,168,0,2,2,0,278,278,0,-84.62,-84.62,,65.48,65.48,
나이지리아,363,363,0,"6,539","6,539",0,"1,074",994,80,"10,412","9,072","1,340",195.94,173.90,0,59.23,38.73,0
남아프리카,"1,395","1,352",43,"22,333","21,930",403,"2,172","2,132",40,"21,547","20,713",834,55.70,57.69,-6.98,-3.52,-5.55,106.95
네덜란드,"22,205","20,222","1,983","242,774","230,685","12,089","13,109","12,588",521,"180,250","172,936","7,314",-40.96,-37.75,-73.73,-25.75,-25.03,-39.50
노르웨이,"1,430","1,430",0,"10,559","10,485",74,"1,853","1,821",32,"10,218","10,164",54,29.58,27.34,0,-3.24,-3.07,-27.03
뉴질랜드,"6,318","4,789","1,529","78,593","71,922","6,671","5,349","4,904",445,"70,916","61,176","9,740",-15.34,2.40,-70.90,-9.77,-14.94,46.01
