연도,국가명,구분,계,적,공
2020,가나,입항,774.0,774.0,0.0
2020,가봉,입항,9.0,9.0,0.0
2020,가이아나,입항,79.0,79.0,0.0
2020,감비아,입항,98.0,98.0,0.0
2020,과테말라,입항,6007.0,3519.0,2488.0
2020,괌,입항,10166.0,708.0,9458.0
2020,그리스,입항,13427.0,4385.0,9042.0
2020,기니,입항,886.0,886.0,0.0
2020,기니비사우,입항,32.0,32.0,0.0
2020,나미비아,입항,218.0,218.0,0.0
2020,나이지리아,입항,1352.0,1345.0,7.0
2020,남아프리카,입항,8135.0,7857.0,278.0
2020,네덜란드,입항,84814.0,79698.0,5116.0
2020,노르웨이,입항,5475.5,5461.5,14.0
2020,뉴질랜드,입항,32450.0,26855.0,5595.0
2020,뉴칼레도니아,입항,1915.0,492.0,1423.0
2020,니카라과,입항,653.0,640.0,13.0
2020,대만,입항,70045.0,46947.25,23097.75
2020,대한민국,입항,60265.25,84.0,60181.25
2020,덴마크,입항,10980.0,10883.0,97.0
2020,도미니카 공화국,입항,1874.0,1859.0,15.0
2020,도미니카 연방,입항,2.0,2.0,0.0
2020,독일,입항,109214.75,100466.25,8748.5
2020,동티모르,입항,2.0,2.0,0.0
2020,라이베리아,입항,55.0,55.0,0.0
2020,라트비아,입항,11132.0,11122.0,10.0
2020,러시아,입항,84461.0,33840.0,50621.0
2020,레바논,입항,1797.0,729.0,1068.0
2020,레위니옹,입항,32.0,32.0,0.0
2020,루마니아,입항,8623.5,2789.5,5834.0
2020,리비아,입항,705.0,705.0,0.0
2020,리투아니아,입항,3127.25,3127.25,0.0
2020,마다가스카르,입항,223.0,223.0,0.0
2020,마르티니크,입항,2.0,2.0,0.0
2020,마샬 제도,입항,5311.0,126.0,5185.0
2020,말레이시아,입항,84039.0,57607.25,26431.75
2020,말리,입항,2.0,2.0,0.0
2020,멕시코,입항,81323.5,32741.0,48582.5
2020,모로코,입항,2169.0,1949.0,220.0
2020,모리셔스,입항,191.0,191.0,0.0
2020,모리타니,입항,323.0,323.0,0.0
2020,모잠비크,입항,1180.0,1180.0,0.0
2020,몬테네그로,입항,643.0,643.0,0.0
2020,몰타,입항,1264.0,229.0,1035.0
2020,미국,입항,687154.5,485052.25,202102.25
2020,미얀마,입항,7844.0,6788.0,1056.0
2020,미크로네시아,입항,140.0,19.0,121.0
2020,바누아투,입항,1111.0,6.0,1105.0
2020,바레인,입항,1325.0,1325.0,0.0
2020,바베이도스,입항,20.0,20.0,0.0
2020,바하마,입항,12.0,12.0,0.0
2020,방글라데시,입항,7472.0,5780.0,1692.0
2020,베냉,입항,8.0,0.0,8.0
2020,베네수엘라,입항,532.0,530.0,2.0
2020,베트남,입항,150785.0,136335.5,14449.5
2020,벨기에,입항,39833.25,38385.25,1448.0
2020,벨리즈,입항,1.0,1.0,0.0
2020,북마리아나 제도,입항,6515.25,96.0,6419.25
2020,불가리아,입항,885.0,865.0,20.0
2020,브라질,입항,34496.0,29174.0,5322.0
2020,브루나이,입항,59.0,59.0,0.0
2020,사모아,입항,3968.0,22.0,3946.0
2020,사우디아라비아,입항,22907.0,7369.0,15538.0
2020,세네갈,입항,1130.0,1118.0,12.0
2020,세르비아,입항,8.0,8.0,0.0
2020,세이셸,입항,34.0,34.0,0.0
2020,세인트 빈센트 그레나딘,입항,10.0,10.0,0.0
2020,세인트루시아,입항,12.0,12.0,0.0
2020,소말리아,입항,48.0,48.0,0.0
2020,솔로몬제도,입항,13.0,13.0,0.0
2020,수단,입항,205.0,205.0,0.0
2020,수리남,입항,1037.0,1037.0,0.0
2020,스리랑카,입항,4074.0,4002.0,72.0
2020,스웨덴,입항,14622.0,14530.0,92.0
2020,스위스,입항,8.0,8.0,0.0
2020,스페인,입항,36748.75,33074.5,3674.25
2020,슬로베니아,입항,14726.5,14527.5,199.0
2020,시리아,입항,1.0,1.0,0.0
2020,시에라 리온,입항,776.0,276.0,500.0
2020,싱가포르,입항,44875.75,33175.0,11700.75
2020,아랍에미리트연합국,입항,52722.75,16800.5,35922.25
2020,아르헨티나,입항,7597.0,3702.0,3895.0
2020,아메리칸사모아,입항,1644.0,194.0,1450.0
2020,아이슬란드,입항,84.0,84.0,0.0
2020,아이티,입항,59.0,59.0,0.0
2020,아일랜드,입항,1824.0,1756.0,68.0
2020,알바니아,입항,36.0,36.0,0.0
2020,알제리,입항,219.0,20.0,199.0
2020,앙골라,입항,1045.0,58.0,987.0
2020,앤틸리스제도,입항,33.0,9.0,24.0
2020,에스토니아,입항,4877.0,4877.0,0.0
2020,에콰도르,입항,10407.5,3698.0,6709.5
2020,엘살바도르,입항,868.0,825.0,43.0
2020,영국,입항,21389.25,18859.5,2529.75
2020,예멘,입항,1731.0,1731.0,0.0
2020,오만,입항,8443.0,1639.0,6804.0
2020,온두라스,입항,2527.75,689.0,1838.75
2020,요르단,입항,3333.0,1263.0,2070.0
2020,우루과이,입항,2210.0,1281.0,929.0
2020,우크라이나,입항,4802.0,3372.0,1430.0
2020,원양어획지역,입항,22.0,22.0,0.0
2020,이라크,입항,1649.0,35.0,1614.0
2020,이란,입항,118.0,32.0,86.0
2020,이스라엘,입항,8466.0,4321.0,4145.0
2020,이집트,입항,16039.5,4069.0,11970.5
2020,이탈리아,입항,54858.5,49726.5,5132.0
2020,인도,입항,110664.25,74522.0,36142.25
2020,인도네시아,입항,76765.75,59844.5,16921.25
2020,일본,입항,833983.75,239981.0,594002.75
2020,자메이카,입항,10370.25,257.0,10113.25
2020,적도 기니,입항,19.0,19.0,0.0
2020,조지아,입항,221.0,221.0,0.0
2020,중국,입항,1126398.5,867073.0,259325.5
2020,지부티,입항,1071.0,1071.0,0.0
2020,지브롤터,입항,29.0,29.0,0.0
2020,체코,입항,40.0,40.0,0.0
2020,칠레,입항,67051.0,61441.0,5610.0
2020,카메룬,입항,15.0,15.0,0.0
2020,카타르,입항,5475.0,4866.0,609.0
2020,캄보디아,입항,1644.0,1642.0,2.0
2020,캐나다,입항,90616.5,56573.5,34043.0
2020,케냐,입항,373.0,373.0,0.0
2020,코모로,입항,3.0,3.0,0.0
2020,코스타리카,입항,1105.0,1088.0,17.0
