입출항구분,국가명,연도,물동량
입항,가나,2020,774.0
입항,가봉,2020,9.0
입항,가이아나,2020,79.0
입항,감비아,2020,98.0
입항,과들루프,2020,0.0
입항,과테말라,2020,6007.0
입항,괌,2020,10166.0
입항,그리스,2020,13427.0
입항,기니,2020,886.0
입항,기니비사우,2020,32.0
입항,나미비아,2020,218.0
입항,나이지리아,2020,1352.0
입항,남아프리카,2020,8135.0
입항,네덜란드,2020,84814.0
입항,노르웨이,2020,5475.5
입항,뉴질랜드,2020,32450.0
입항,뉴칼레도니아,2020,1915.0
입항,니카라과,2020,653.0
입항,대만,2020,70045.0
입항,대한민국,2020,60265.25
입항,덴마크,2020,10980.0
입항,도미니카 공화국,2020,1874.0
입항,도미니카 연방,2020,2.0
입항,독일,2020,109214.75
입항,동티모르,2020,2.0
입항,라이베리아,2020,55.0
입항,라트비아,2020,11132.0
입항,러시아,2020,84461.0
입항,레바논,2020,1797.0
입항,레위니옹,2020,32.0
입항,루마니아,2020,8623.5
입항,리비아,2020,705.0
입항,리투아니아,2020,3127.25
입항,마다가스카르,2020,223.0
입항,마르티니크,2020,2.0
입항,마샬 제도,2020,5311.0
입항,말레이시아,2020,84039.0
입항,말리,2020,2.0
입항,멕시코,2020,81323.5
입항,모로코,2020,2169.0
입항,모리셔스,2020,191.0
입항,모리타니,2020,323.0
입항,모잠비크,2020,1180.0
입항,몬테네그로,2020,643.0
입항,몰타,2020,1264.0
입항,미국,2020,687154.5
입항,미얀마,2020,7844.0
입항,미크로네시아,2020,140.0
입항,바누아투,2020,1111.0
입항,바레인,2020,1325.0
입항,바베이도스,2020,20.0
입항,바하마,2020,12.0
입항,방글라데시,2020,7472.0
입항,베냉,2020,8.0
입항,베네수엘라,2020,532.0
입항,베트남,2020,150785.0
입항,벨기에,2020,39833.25
입항,벨리즈,2020,1.0
입항,북마리아나 제도,2020,6515.25
입항,불가리아,2020,885.0
입항,브라질,2020,34496.0
입항,브루나이,2020,59.0
입항,사모아,2020,3968.0
입항,사우디아라비아,2020,22907.0
입항,세네갈,2020,1130.0
입항,세르비아,2020,8.0
입항,세이셸,2020,34.0
입항,세인트 빈센트 그레나딘,2020,10.0
입항,세인트루시아,2020,12.0
입항,소말리아,2020,48.0
입항,솔로몬제도,2020,13.0
입항,수단,2020,205.0
입항,수리남,2020,1037.0
입항,스리랑카,2020,4074.0
입항,스웨덴,2020,14622.0
입항,스위스,2020,8.0
입항,스페인,2020,36748.75
입항,슬로베니아,2020,14726.5
입항,시리아,2020,1.0
입항,시에라 리온,2020,776.0
입항,싱가포르,2020,44875.75
입항,아랍에미리트연합국,2020,52722.75
입항,아루바,2020,0.0
입항,아르헨티나,2020,7597.0
입항,아메리칸사모아,2020,1644.0
입항,아이슬란드,2020,84.0
입항,아이티,2020,59.0
입항,아일랜드,2020,1824.0
입항,알바니아,2020,36.0
입항,알제리,2020,219.0
입항,앙골라,2020,1045.0
입항,앤틸리스제도,2020,33.0
입항,에스토니아,2020,4877.0
입항,에콰도르,2020,10407.5
입항,엘살바도르,2020,868.0
입항,영국,2020,21389.25
입항,예멘,2020,1731.0
입항,오만,2020,8443.0
입항,오스트리아,2020,0.0
입항,온두라스,2020,2527.75
입항,요르단,2020,3333.0
입항,우루과이,2020,2210.0
입항,우크라이나,2020,4802.0
입항,원양어획지역,2020,22.0
입항,이라크,2020,1649.0
입항,이란,2020,118.0
입항,이스라엘,2020,8466.0
입항,이집트,2020,16039.5
입항,이탈리아,2020,54858.5
입항,인도,2020,110664.25
입항,인도네시아,2020,76765.75
입항,일본,2020,833983.75
입항,자메이카,2020,10370.25
입항,적도 기니,2020,19.0
입항,조지아,2020,221.0
입항,중국,2020,1126398.5
입항,지부티,2020,1071.0
입항,지브롤터,2020,29.0
입항,체코,2020,40.0
입항,칠레,2020,67051.0
입항,카메룬,2020,15.0
입항,카보 베르데,2020,0.0
입항,카타르,2020,5475.0
입항,캄보디아,2020,1644.0
입항,캐나다,2020,90616.5
입항,케냐,2020,373.0
입항,코모로,2020,3.0
입항,코스타리카,2020,1105.0
입항,코트디부아르,2020,78.0
입항,콜롬비아,2020,14837.0
입항,콩고,2020,140.0
입항,콩고 민주 공화국,2020,37.0
입항,쿠바,2020,8.0
입항,쿠웨이트,2020,644.0
입항,퀴라소,2020,0.0
입항,크로아티아,2020,1468.0
입항,키리바시,2020,839.0
입항,키프로스,2020,144.0
입항,탄자니아,2020,2612.0
입항,태국,2020,78970.25
입항,토고,2020,1240.0
입항,통가,2020,1454.0
입항,튀니지,2020,671.0
입항,튀르키예,2020,27303.75
입항,트리니다드 토바고,2020,662.0
입항,파나마,2020,47218.75
입항,파라과이,2020,317.0
입항,파키스탄,2020,15437.5
입항,파푸아 뉴기니,2020,347.0
입항,팔라우,2020,56.0
입항,페로 제도,2020,2.0
입항,페루,2020,27227.0
입항,포르투갈,2020,3082.0
입항,폴란드,2020,12822.0
입항,푸에르토리코,2020,1914.0
입항,프랑스,2020,29817.25
입항,프랑스령 기아나,2020,9.0
입항,프랑스령 폴리네시아,2020,3425.0
입항,피지,2020,1433.0
입항,핀란드,2020,12626.0
입항,필리핀,2020,57216.75
입항,헝가리,2020,115.0
입항,호주,2020,146466.5
입항,홍콩,2020,40253.0
출항,가나,2020,3203.0
