연도,국가명,물동량
2020,가나,3203.0
2020,가봉,16.0
2020,가이아나,73.0
2020,감비아,6.0
2020,과들루프,21.0
2020,과테말라,2702.0
2020,괌,2785.0
2020,그레나다,32.0
2020,그리스,16723.0
2020,기니,170.0
2020,나미비아,55.0
2020,나우루,0.0
2020,나이지리아,2756.0
2020,남아프리카,4869.0
2020,네덜란드,68338.75
2020,노르웨이,306.0
2020,뉴질랜드,16432.0
2020,뉴칼레도니아,273.0
2020,니카라과,803.5
2020,대만,125381.5
2020,대한민국,94203.5
2020,덴마크,2137.0
2020,도미니카 공화국,2240.0
2020,도미니카 연방,5.0
2020,독일,85075.0
2020,동티모르,10.0
2020,라이베리아,66.0
2020,라트비아,462.25
2020,러시아,134270.5
2020,레바논,1061.0
2020,레위니옹,51.0
2020,루마니아,3180.0
2020,리비아,1387.0
2020,리투아니아,2491.0
2020,마다가스카르,90.0
2020,마르티니크,37.0
2020,마샬 제도,773.0
2020,마요트,84.0
2020,마카오,1.0
2020,말레이시아,93544.25
2020,멕시코,149003.5
2020,모로코,2635.0
2020,모리셔스,150.0
2020,모리타니,84.0
2020,모잠비크,1309.0
2020,몬테네그로,38.0
2020,몰디브,23.0
2020,몰타,635.0
2020,미국,801271.5
2020,미국령 버진아일랜드,1.0
2020,미얀마,1517.25
2020,미크로네시아,333.0
2020,바누아투,483.0
2020,바레인,451.0
2020,바베이도스,38.0
2020,바하마,25976.0
2020,방글라데시,565.0
2020,베냉,58.0
2020,베네수엘라,376.0
2020,베트남,232100.0
2020,벨기에,21883.0
2020,벨리즈,32.0
2020,북마리아나 제도,924.0
2020,불가리아,674.0
2020,브라질,50219.0
2020,브루나이,0.0
2020,사모아,94.0
2020,사우디아라비아,44105.5
2020,세네갈,735.0
2020,세이셸,123.0
2020,세인트루시아,16.0
2020,세인트키츠 네비스,12.0
2020,소말리아,153.0
2020,솔로몬제도,450.0
2020,수단,1227.0
2020,수리남,32.0
2020,스리랑카,13572.0
2020,스웨덴,4732.0
2020,스페인,34634.75
2020,슬로베니아,93265.75
2020,시리아,1716.0
2020,시에라 리온,34.0
2020,싱가포르,77908.25
2020,아랍에미리트연합국,68517.5
2020,아루바,1.0
2020,아르헨티나,6418.0
2020,아메리칸사모아,820.0
2020,아이티,208.0
2020,아일랜드,427.0
2020,알바니아,122.0
2020,알제리,2674.0
2020,앙골라,713.0
2020,앤티가 바부다,2.0
2020,앤틸리스제도,46.0
