연도,국가명,물동량
2020,가나,774.0
2020,가봉,9.0
2020,가이아나,79.0
2020,감비아,98.0
2020,과들루프,0.0
2020,과테말라,6007.0
2020,괌,10166.0
2020,그리스,13427.0
2020,기니,886.0
2020,기니비사우,32.0
2020,나미비아,218.0
2020,나이지리아,1352.0
2020,남아프리카,8135.0
2020,네덜란드,84814.0
2020,노르웨이,5475.5
2020,뉴질랜드,32450.0
2020,뉴칼레도니아,1915.0
2020,니카라과,653.0
2020,대만,70045.0
2020,대한민국,60265.25
2020,덴마크,10980.0
2020,도미니카 공화국,1874.0
2020,도미니카 연방,2.0
2020,독일,109214.75
2020,동티모르,2.0
2020,라이베리아,55.0
2020,라트비아,11132.0
2020,러시아,84461.0
2020,레바논,1797.0
2020,레위니옹,32.0
2020,루마니아,8623.5
2020,리비아,705.0
2020,리투아니아,3127.25
2020,마다가스카르,223.0
2020,마르티니크,2.0
2020,마샬 제도,5311.0
2020,말레이시아,84039.0
2020,말리,2.0
2020,멕시코,81323.5
2020,모로코,2169.0
2020,모리셔스,191.0
2020,모리타니,323.0
2020,모잠비크,1180.0
2020,몬테네그로,643.0
2020,몰타,1264.0
2020,미국,687154.5
2020,미얀마,7844.0
2020,미크로네시아,140.0
2020,바누아투,1111.0
2020,바레인,1325.0
2020,바베이도스,20.0
2020,바하마,12.0
2020,방글라데시,7472.0
2020,베냉,8.0
2020,베네수엘라,532.0
2020,베트남,150785.0
2020,벨기에,39833.25
2020,벨리즈,1.0
2020,북마리아나 제도,6515.25
2020,불가리아,885.0
2020,브라질,34496.0
2020,브루나이,59.0
2020,사모아,3968.0
2020,사우디아라비아,22907.0
2020,세네갈,1130.0
2020,세르비아,8.0
2020,세이셸,34.0
2020,세인트 빈센트 그레나딘,10.0
2020,세인트루시아,12.0
2020,소말리아,48.0
2020,솔로몬제도,13.0
2020,수단,205.0
2020,수리남,1037.0
2020,스리랑카,4074.0
2020,스웨덴,14622.0
2020,스위스,8.0
2020,스페인,36748.75
2020,슬로베니아,14726.5
2020,시리아,1.0
2020,시에라 리온,776.0
2020,싱가포르,44875.75
2020,아랍에미리트연합국,52722.75
2020,아루바,0.0
2020,아르헨티나,7597.0
2020,아메리칸사모아,1644.0
2020,아이슬란드,84.0
2020,아이티,59.0
2020,아일랜드,1824.0
2020,알바니아,36.0
2020,알제리,219.0
2020,앙골라,1045.0
2020,앤틸리스제도,33.0
2020,에스토니아,4877.0
2020,에콰도르,10407.5
2020,엘살바도르,868.0
2020,영국,21389.25
2020,예멘,1731.0
2020,오만,8443.0
2020,오스트리아,0.0
2020,온두라스,2527.75
2020,요르단,3333.0
2020,우루과이,2210.0
2020,우크라이나,4802.0
2020,원양어획지역,22.0
2020,이라크,1649.0
2020,이란,118.0
2020,이스라엘,8466.0
2020,이집트,16039.5
2020,이탈리아,54858.5
2020,인도,110664.25
2020,인도네시아,76765.75
2020,일본,833983.75
2020,자메이카,10370.25
2020,적도 기니,19.0
2020,조지아,221.0
2020,중국,1126398.5
2020,지부티,1071.0
2020,지브롤터,29.0
2020,체코,40.0
2020,칠레,67051.0
2020,카메룬,15.0
2020,카보 베르데,0.0
2020,카타르,5475.0
2020,캄보디아,1644.0
2020,캐나다,90616.5
2020,케냐,373.0
2020,코모로,3.0
2020,코스타리카,1105.0
2020,코트디부아르,78.0
2020,콜롬비아,14837.0
2020,콩고,140.0
2020,콩고 민주 공화국,37.0
2020,쿠바,8.0
2020,쿠웨이트,644.0
2020,퀴라소,0.0
2020,크로아티아,1468.0
2020,키리바시,839.0
2020,키프로스,144.0
2020,탄자니아,2612.0
2020,태국,78970.25
2020,토고,1240.0
2020,통가,1454.0
2020,튀니지,671.0
2020,튀르키예,27303.75
2020,트리니다드 토바고,662.0
2020,파나마,47218.75
2020,파라과이,317.0
2020,파키스탄,15437.5
2020,파푸아 뉴기니,347.0
2020,팔라우,56.0
2020,페로 제도,2.0
2020,페루,27227.0
2020,포르투갈,3082.0
2020,폴란드,12822.0
2020,푸에르토리코,1914.0
2020,프랑스,29817.25
2020,프랑스령 기아나,9.0
2020,프랑스령 폴리네시아,3425.0
2020,피지,1433.0
2020,핀란드,12626.0
2020,필리핀,57216.75
2020,헝가리,115.0
2020,호주,146466.5
2020,홍콩,40253.0
2021,가나,382.0
2021,가봉,64.0
2021,가이아나,45.0
2021,감비아,58.0
2021,과들루프,4.0
2021,과테말라,4658.0
2021,괌,6969.0
2021,그리스,11364.25
2021,기니,937.0
2021,기니비사우,42.0
2021,나미비아,140.0
2021,나이지리아,689.0
2021,남아프리카,9601.0
2021,네덜란드,89134.75
2021,노르웨이,7352.0
2021,뉴질랜드,29332.0
2021,뉴칼레도니아,2984.0
2021,니카라과,197.0
2021,대만,86778.75
2021,대한민국,77131.75
2021,덴마크,11970.0
2021,도미니카 공화국,1502.0
2021,도미니카 연방,0.0
2021,독일,106528.0
2021,동티모르,2.0
2021,라이베리아,29.0
2021,라트비아,11288.0
2021,러시아,143904.75
2021,레바논,1254.0
2021,레위니옹,25.0
2021,루마니아,6350.5
2021,리비아,404.0
2021,리투아니아,4620.25
2021,마다가스카르,101.0
2021,마르티니크,6.0
2021,마샬 제도,4858.0
2021,말레이시아,96223.25
2021,말리,0.0
2021,멕시코,100306.5
2021,모로코,3379.0
2021,모리셔스,118.0
2021,모리타니,303.0
2021,모잠비크,1139.0
2021,몬테네그로,1444.0
2021,몰타,1537.25
2021,미국,735726.75
2021,미얀마,4132.0
2021,미크로네시아,131.0
2021,바누아투,1879.0
2021,바레인,2588.0
2021,바베이도스,0.0
2021,바하마,3.0
2021,방글라데시,7320.0
2021,베냉,27.0
2021,베네수엘라,381.0
2021,베트남,164976.0
2021,벨기에,43211.0
2021,벨리즈,0.0
2021,북마리아나 제도,9795.5
2021,불가리아,914.25
2021,브라질,38115.0
2021,브루나이,22.0
2021,사모아,2644.0
2021,사우디아라비아,22533.75
2021,세네갈,1194.0
2021,세르비아,2.0
2021,세이셸,103.0
2021,세인트 빈센트 그레나딘,0.0
2021,세인트루시아,8.0
2021,소말리아,34.0
2021,솔로몬제도,56.0
2021,수단,424.0
2021,수리남,401.0
2021,스리랑카,4812.0
2021,스웨덴,15079.0
2021,스위스,15.0
2021,스페인,44959.25
2021,슬로베니아,15925.75
2021,시리아,1.0
2021,시에라 리온,165.0
2021,싱가포르,65197.25
2021,아랍에미리트연합국,65359.0
2021,아루바,10.0
2021,아르헨티나,7962.0
