연도,국가명,수입,수출,환적,전체물동량
2020,가나,774.0,3203.0,1798.5,5775.5
2020,가봉,9.0,16.0,984.0,1009.0
2020,가이아나,79.0,73.0,4860.0,5012.0
2020,감비아,98.0,6.0,134.0,238.0
2020,과들루프,0.0,21.0,182.0,203.0
2020,과테말라,6007.0,2702.0,21203.75,29912.75
2020,괌,10166.0,2785.0,7258.25,20209.25
2020,그레나다,0.0,32.0,474.0,506.0
2020,그리스,13427.0,16723.0,16204.25,46354.25
2020,기니,886.0,170.0,227.0,1283.0
2020,기니비사우,32.0,0.0,4.0,36.0
2020,기타국가,0.0,0.0,15.0,15.0
2020,나미비아,218.0,55.0,740.0,1013.0
2020,나우루,0.0,0.0,34.0,34.0
2020,나이지리아,1352.0,2756.0,2827.0,6935.0
2020,남아프리카,8135.0,4869.0,10854.0,23858.0
2020,네덜란드,84814.0,68338.75,59197.75,212350.5
2020,노르웨이,5475.5,306.0,2314.25,8095.75
2020,뉴질랜드,32450.0,16432.0,45156.0,94038.0
2020,뉴칼레도니아,1915.0,273.0,10485.0,12673.0
2020,니카라과,653.0,803.5,5907.5,7364.0
2020,대만,70045.0,125381.5,164725.5,360152.0
2020,대한민국,60265.25,94203.5,299790.5,454259.25
2020,덴마크,10980.0,2137.0,4469.0,17586.0
2020,도미니카 공화국,1874.0,2240.0,19484.0,23598.0
2020,도미니카 연방,2.0,5.0,83.25,90.25
2020,독일,109214.75,85075.0,65379.5,259669.25
2020,동티모르,2.0,10.0,44.0,56.0
2020,라이베리아,55.0,66.0,43.0,164.0
2020,라트비아,11132.0,462.25,3647.0,15241.25
2020,러시아,84461.0,134270.5,406080.75,624812.25
2020,레바논,1797.0,1061.0,2185.75,5043.75
2020,레위니옹,32.0,51.0,9.0,92.0
2020,루마니아,8623.5,3180.0,12645.75,24449.25
2020,리비아,705.0,1387.0,988.25,3080.25
2020,리투아니아,3127.25,2491.0,1074.0,6692.25
2020,마다가스카르,223.0,90.0,285.0,598.0
2020,마르티니크,2.0,37.0,132.0,171.0
2020,마샬 제도,5311.0,773.0,2192.0,8276.0
2020,마요트,0.0,84.0,0.0,84.0
2020,마카오,0.0,1.0,14.0,15.0
2020,말레이시아,84039.0,93544.25,139271.5,316854.75
2020,말리,2.0,0.0,0.0,2.0
2020,멕시코,81323.5,149003.5,311419.25,541746.25
2020,모로코,2169.0,2635.0,4131.75,8935.75
2020,모리셔스,191.0,150.0,525.0,866.0
2020,모리타니,323.0,84.0,468.0,875.0
2020,모잠비크,1180.0,1309.0,1158.0,3647.0
2020,몬테네그로,643.0,38.0,118.25,799.25
2020,몰디브,0.0,23.0,45.0,68.0
2020,몰타,1264.0,635.0,808.0,2707.0
2020,미국,687154.5,801271.5,1743133.0,3231559.0
2020,미국령 버진아일랜드,0.0,1.0,34.0,35.0
2020,미얀마,7844.0,1517.25,4271.0,13632.25
2020,미크로네시아,140.0,333.0,1844.0,2317.0
2020,바누아투,1111.0,483.0,5017.0,6611.0
2020,바레인,1325.0,451.0,753.0,2529.0
2020,바베이도스,20.0,38.0,1343.0,1401.0
2020,바하마,12.0,25976.0,90454.25,116442.25
2020,방글라데시,7472.0,565.0,5982.75,14019.75
2020,버뮤다,0.0,0.0,0.0,0.0
2020,베냉,8.0,58.0,71.0,137.0
2020,베네수엘라,532.0,376.0,10192.5,11100.5
2020,베트남,150785.0,232100.0,211212.0,594097.0
2020,벨기에,39833.25,21883.0,26341.75,88058.0
2020,벨리즈,1.0,32.0,339.0,372.0
2020,볼리비아,0.0,0.0,6.0,6.0
2020,북마리아나 제도,6515.25,924.0,1732.0,9171.25
2020,불가리아,885.0,674.0,2073.0,3632.0
2020,브라질,34496.0,50219.0,111031.0,195746.0
2020,브루나이,59.0,0.0,114.0,173.0
2020,사모아,3968.0,94.0,3092.0,7154.0
2020,사우디아라비아,22907.0,44105.5,37085.5,104098.0
2020,상투메 프린시페,0.0,0.0,0.0,0.0
2020,세네갈,1130.0,735.0,1894.0,3759.0
2020,세르비아,8.0,0.0,0.0,8.0
2020,세이셸,34.0,123.0,157.0,314.0
2020,세인트 빈센트 그레나딘,10.0,0.0,124.0,134.0
2020,세인트루시아,12.0,16.0,321.0,349.0
2020,세인트키츠 네비스,0.0,12.0,40.0,52.0
2020,소말리아,48.0,153.0,46.0,247.0
