연도,월,국가명,수입,수출,환적,전체물동량
2020,1,가나,24.0,176.5,65.0,265.5
2020,1,가봉,0.0,0.0,4.0,4.0
2020,1,가이아나,24.0,1.0,515.0,540.0
2020,1,감비아,11.0,1.0,12.0,24.0
2020,1,과들루프,0.0,0.0,11.0,11.0
2020,1,과테말라,430.0,181.0,1622.5,2233.5
2020,1,괌,841.25,150.75,368.5,1360.5
2020,1,그레나다,0.0,1.0,29.0,30.0
2020,1,그리스,1156.0,1129.0,1430.0,3715.0
2020,1,기니,68.0,7.0,2.0,77.0
2020,1,기니비사우,4.0,0.0,2.0,6.0
2020,1,나미비아,10.0,6.0,14.0,30.0
2020,1,나우루,0.0,0.0,1.0,1.0
2020,1,나이지리아,99.0,273.0,65.25,437.25
2020,1,남아프리카,483.0,494.0,675.0,1652.0
2020,1,네덜란드,5094.0,5226.25,3411.0,13731.25
2020,1,노르웨이,596.0,73.0,247.0,916.0
2020,1,뉴질랜드,2068.0,1169.0,3226.0,6463.0
2020,1,뉴칼레도니아,141.0,19.0,750.0,910.0
2020,1,니카라과,110.0,77.0,316.25,503.25
2020,1,대만,5715.25,9697.75,14194.5,29607.5
2020,1,대한민국,4113.0,8617.0,25798.75,38528.75
2020,1,덴마크,1151.0,211.0,428.0,1790.0
2020,1,도미니카 공화국,184.0,158.0,1111.0,1453.0
2020,1,도미니카 연방,0.0,0.0,5.0,5.0
2020,1,독일,8093.0,8561.0,5146.0,21800.0
2020,1,동티모르,0.0,0.0,4.0,4.0
2020,1,라이베리아,3.0,2.0,0.0,5.0
2020,1,라트비아,609.0,55.25,312.0,976.25
2020,1,러시아,6771.0,10039.25,29289.0,46099.25
2020,1,레바논,114.0,34.0,127.0,275.0
2020,1,레위니옹,2.0,6.0,0.0,8.0
2020,1,루마니아,440.0,219.0,974.5,1633.5
2020,1,리비아,106.0,126.0,215.0,447.0
2020,1,리투아니아,232.0,137.0,101.0,470.0
2020,1,마다가스카르,17.0,15.0,3.0,35.0
2020,1,마르티니크,0.0,5.0,6.0,11.0
2020,1,마샬 제도,363.0,68.0,183.0,614.0
2020,1,마요트,0.0,21.0,0.0,21.0
2020,1,말레이시아,7434.0,8177.5,10977.25,26588.75
2020,1,멕시코,7817.0,12348.0,28004.25,48169.25
2020,1,모로코,147.0,326.0,207.0,680.0
2020,1,모리셔스,15.0,11.0,26.0,52.0
2020,1,모리타니,13.0,10.0,13.0,36.0
2020,1,모잠비크,144.0,187.0,66.0,397.0
2020,1,몬테네그로,42.0,3.0,16.0,61.0
2020,1,몰디브,0.0,2.0,13.0,15.0
2020,1,몰타,18.0,31.0,31.0,80.0
2020,1,미국,56626.25,56841.25,143669.0,257136.5
2020,1,미얀마,422.0,187.25,293.0,902.25
2020,1,미크로네시아,5.0,16.0,174.0,195.0
2020,1,바누아투,46.0,20.0,381.0,447.0
2020,1,바레인,29.0,60.0,11.0,100.0
2020,1,바베이도스,0.0,0.0,86.0,86.0
2020,1,바하마,0.0,526.0,10416.0,10942.0
2020,1,방글라데시,668.0,42.0,664.75,1374.75
2020,1,베냉,0.0,10.0,0.0,10.0
2020,1,베네수엘라,119.0,11.0,1095.0,1225.0
2020,1,베트남,13826.0,17359.5,16299.5,47485.0
2020,1,벨기에,3381.75,1550.25,1429.0,6361.0
2020,1,벨리즈,0.0,3.0,17.0,20.0
2020,1,북마리아나 제도,355.5,72.0,124.0,551.5
2020,1,불가리아,71.0,62.0,294.0,427.0
2020,1,브라질,2567.0,4186.0,7548.0,14301.0
2020,1,브루나이,34.0,0.0,0.0,34.0
2020,1,사모아,10.0,8.0,274.0,292.0
2020,1,사우디아라비아,1554.0,2943.5,3323.5,7821.0
2020,1,세네갈,60.0,143.0,71.0,274.0
2020,1,세이셸,7.0,27.0,41.0,75.0
2020,1,세인트 빈센트 그레나딘,0.0,0.0,4.0,4.0
2020,1,세인트루시아,0.0,0.0,20.0,20.0
2020,1,소말리아,1.0,22.0,4.0,27.0
2020,1,솔로몬제도,0.0,16.0,203.0,219.0
2020,1,수단,53.0,51.0,796.0,900.0
2020,1,수리남,156.0,2.0,423.0,581.0
2020,1,스리랑카,319.0,904.0,205.0,1428.0
2020,1,스웨덴,1162.0,461.0,1353.0,2976.0
2020,1,스페인,2755.75,2631.0,4348.0,9734.75
2020,1,슬로베니아,1163.5,7177.0,1421.25,9761.75
2020,1,시리아,0.0,165.0,304.0,469.0
2020,1,시에라 리온,22.0,6.0,87.0,115.0
2020,1,싱가포르,3739.5,5755.25,6212.75,15707.5
2020,1,아랍에미리트연합국,3421.0,6409.0,6964.75,16794.75
2020,1,아르헨티나,195.0,482.0,1030.0,1707.0
2020,1,아메리칸사모아,17.0,44.0,77.0,138.0
2020,1,아이슬란드,0.0,0.0,27.0,27.0
2020,1,아이티,2.0,3.0,190.0,195.0
2020,1,아일랜드,133.0,53.0,132.0,318.0
2020,1,알바니아,0.0,6.0,95.0,101.0
2020,1,알제리,13.0,178.5,237.25,428.75
2020,1,앙골라,0.0,166.0,0.0,166.0
2020,1,앤티가 바부다,0.0,0.0,3.0,3.0
2020,1,앤틸리스제도,0.0,2.0,24.0,26.0
2020,1,에스토니아,397.0,34.0,39.0,470.0
2020,1,에콰도르,324.0,985.0,8146.0,9455.0
2020,1,엘살바도르,71.0,105.0,555.25,731.25
2020,1,영국,1565.0,2606.0,1721.0,5892.0
2020,1,영국령 버진아일랜드,0.0,0.0,2.0,2.0
2020,1,예멘,74.0,2.0,5.0,81.0
2020,1,오만,2912.0,377.0,815.75,4104.75
2020,1,온두라스,45.0,30.0,329.0,404.0
2020,1,요르단,382.0,306.0,316.0,1004.0
2020,1,우루과이,96.0,267.0,455.0,818.0
2020,1,우크라이나,253.0,103.25,1196.5,1552.75
2020,1,원양어획지역,0.0,0.0,15.0,15.0
2020,1,이라크,0.0,447.0,82.25,529.25
2020,1,이란,15.0,0.0,0.0,15.0
2020,1,이스라엘,599.0,930.0,2206.0,3735.0
2020,1,이집트,2639.0,2883.25,1988.0,7510.25
2020,1,이탈리아,4659.5,3404.0,4426.0,12489.5
2020,1,인도,13224.0,15541.75,8277.75,37043.5
2020,1,인도네시아,6514.5,7633.75,11876.5,26024.75
2020,1,일본,67432.0,34973.0,143502.5,245907.5
2020,1,자메이카,2424.0,149.0,884.25,3457.25
2020,1,적도 기니,0.0,0.0,26.0,26.0
2020,1,조지아,17.0,6.0,347.0,370.0
2020,1,중국,92734.75,88981.5,352846.75,534563.0
2020,1,지부티,48.0,41.0,36.0,125.0
2020,1,체코,16.0,0.0,0.0,16.0
2020,1,칠레,5809.0,2482.0,21056.0,29347.0
