연도,국가명,물동량
2020,가나,5775.5
2020,가봉,1009.0
2020,가이아나,5012.0
2020,감비아,238.0
2020,과들루프,203.0
2020,과테말라,29912.75
2020,괌,20209.25
2020,그레나다,506.0
2020,그리스,46354.25
2020,기니,1283.0
2020,기니비사우,36.0
2020,기타국가,15.0
2020,나미비아,1013.0
2020,나우루,34.0
2020,나이지리아,6935.0
2020,남아프리카,23858.0
2020,네덜란드,212350.5
2020,노르웨이,8095.75
2020,뉴질랜드,94038.0
2020,뉴칼레도니아,12673.0
2020,니카라과,7364.0
2020,대만,360152.0
2020,대한민국,454259.25
2020,덴마크,17586.0
2020,도미니카 공화국,23598.0
2020,도미니카 연방,90.25
2020,독일,259669.25
2020,동티모르,56.0
2020,라이베리아,164.0
2020,라트비아,15241.25
2020,러시아,624812.25
2020,레바논,5043.75
2020,레위니옹,92.0
2020,루마니아,24449.25
2020,리비아,3080.25
2020,리투아니아,6692.25
2020,마다가스카르,598.0
2020,마르티니크,171.0
2020,마샬 제도,8276.0
2020,마요트,84.0
2020,마카오,15.0
2020,말레이시아,316854.75
2020,말리,2.0
2020,멕시코,541746.25
2020,모로코,8935.75
2020,모리셔스,866.0
2020,모리타니,875.0
2020,모잠비크,3647.0
2020,몬테네그로,799.25
2020,몰디브,68.0
2020,몰타,2707.0
2020,미국,3231559.0
2020,미국령 버진아일랜드,35.0
2020,미얀마,13632.25
2020,미크로네시아,2317.0
2020,바누아투,6611.0
2020,바레인,2529.0
2020,바베이도스,1401.0
2020,바하마,116442.25
2020,방글라데시,14019.75
2020,버뮤다,0.0
2020,베냉,137.0
2020,베네수엘라,11100.5
2020,베트남,594097.0
2020,벨기에,88058.0
2020,벨리즈,372.0
2020,볼리비아,6.0
2020,북마리아나 제도,9171.25
2020,불가리아,3632.0
2020,브라질,195746.0
2020,브루나이,173.0
2020,사모아,7154.0
2020,사우디아라비아,104098.0
2020,상투메 프린시페,0.0
2020,세네갈,3759.0
2020,세르비아,8.0
2020,세이셸,314.0
2020,세인트 빈센트 그레나딘,134.0
2020,세인트루시아,349.0
2020,세인트키츠 네비스,52.0
2020,소말리아,247.0
2020,솔로몬제도,3331.0
2020,수단,7268.0
2020,수리남,7356.0
2020,스리랑카,22725.75
2020,스웨덴,31562.0
2020,스위스,8.0
2020,스페인,116453.0
2020,슬로베니아,122638.25
2020,시리아,5469.75
2020,시에라 리온,1042.0
2020,싱가포르,210208.75
2020,아랍에미리트연합국,196552.5
2020,아루바,80.0
2020,아르헨티나,33657.0
2020,아메리칸사모아,4240.0
2020,아이슬란드,181.0
2020,아이티,3396.0
2020,아일랜드,3438.25
2020,알바니아,791.0
2020,알제리,5150.0
2020,앙골라,2092.0
2020,앤티가 바부다,169.0
2020,앤틸리스제도,484.0
2020,앵귈라,9.0
2020,에리트레아,7.0
2020,에스토니아,6460.25
2020,에콰도르,140717.75
2020,엘살바도르,6953.5
2020,영국,68252.5
2020,영국령 버진아일랜드,30.0
2020,예멘,2242.0
2020,오만,24613.0
2020,오스트리아,0.0
2020,온두라스,8448.5
2020,왈리스 푸투나,0.0
2020,요르단,12457.25
2020,우루과이,11980.0
2020,우크라이나,22575.5
2020,원양어획지역,939.0
2020,이라크,5317.0
2020,이란,145.0
2020,이스라엘,36479.5
2020,이집트,86076.5
2020,이탈리아,152966.75
2020,인도,331297.25
2020,인도네시아,349132.25
2020,일본,2986053.0
2020,자메이카,30501.5
2020,적도 기니,55.0
2020,조지아,2797.5
2020,중국,6116158.5
2020,지부티,1909.0
2020,지브롤터,30.0
2020,차드,1.0
2020,체코,41.0
2020,칠레,349814.75
2020,카메룬,679.0
2020,카보 베르데,19.0
2020,카타르,16117.5
2020,캄보디아,12654.25
2020,캐나다,676687.0
2020,케냐,4084.0
2020,케이맨 제도,96.0
2020,코모로,11.0
2020,코스타리카,16251.75
2020,코트디부아르,1233.0
2020,콜롬비아,121485.25
2020,콩고,428.0
2020,콩고 민주 공화국,588.0
2020,쿠바,3643.0
2020,쿠웨이트,2798.0
