연도,국가명,물동량
2020,가나,1798.5
2020,가봉,984.0
2020,가이아나,4860.0
2020,감비아,134.0
2020,과들루프,182.0
2020,과테말라,21203.75
2020,괌,7258.25
2020,그레나다,474.0
2020,그리스,16204.25
2020,기니,227.0
2020,기니비사우,4.0
2020,기타국가,15.0
2020,나미비아,740.0
2020,나우루,34.0
2020,나이지리아,2827.0
2020,남아프리카,10854.0
2020,네덜란드,59197.75
2020,노르웨이,2314.25
2020,뉴질랜드,45156.0
2020,뉴칼레도니아,10485.0
2020,니카라과,5907.5
2020,대만,164725.5
2020,대한민국,299790.5
2020,덴마크,4469.0
2020,도미니카 공화국,19484.0
2020,도미니카 연방,83.25
2020,독일,65379.5
2020,동티모르,44.0
2020,라이베리아,43.0
2020,라트비아,3647.0
2020,러시아,406080.75
2020,레바논,2185.75
2020,레위니옹,9.0
2020,루마니아,12645.75
2020,리비아,988.25
2020,리투아니아,1074.0
2020,마다가스카르,285.0
2020,마르티니크,132.0
2020,마샬 제도,2192.0
2020,마요트,0.0
2020,마카오,14.0
2020,말레이시아,139271.5
2020,멕시코,311419.25
2020,모로코,4131.75
2020,모리셔스,525.0
2020,모리타니,468.0
2020,모잠비크,1158.0
2020,몬테네그로,118.25
2020,몰디브,45.0
2020,몰타,808.0
2020,미국,1743133.0
2020,미국령 버진아일랜드,34.0
2020,미얀마,4271.0
2020,미크로네시아,1844.0
2020,바누아투,5017.0
2020,바레인,753.0
2020,바베이도스,1343.0
2020,바하마,90454.25
2020,방글라데시,5982.75
2020,버뮤다,0.0
2020,베냉,71.0
2020,베네수엘라,10192.5
2020,베트남,211212.0
2020,벨기에,26341.75
2020,벨리즈,339.0
2020,볼리비아,6.0
2020,북마리아나 제도,1732.0
2020,불가리아,2073.0
2020,브라질,111031.0
2020,브루나이,114.0
2020,사모아,3092.0
2020,사우디아라비아,37085.5
2020,상투메 프린시페,0.0
2020,세네갈,1894.0
2020,세이셸,157.0
2020,세인트 빈센트 그레나딘,124.0
2020,세인트루시아,321.0
2020,세인트키츠 네비스,40.0
2020,소말리아,46.0
2020,솔로몬제도,2868.0
2020,수단,5836.0
2020,수리남,6287.0
2020,스리랑카,5079.75
2020,스웨덴,12208.0
2020,스페인,45069.5
2020,슬로베니아,14646.0
2020,시리아,3752.75
2020,시에라 리온,232.0
2020,싱가포르,87424.75
2020,아랍에미리트연합국,75312.25
2020,아루바,79.0
2020,아르헨티나,19642.0
2020,아메리칸사모아,1776.0
2020,아이슬란드,97.0
2020,아이티,3129.0
2020,아일랜드,1187.25
2020,알바니아,633.0
2020,알제리,2257.0
2020,앙골라,334.0
2020,앤티가 바부다,167.0
2020,앤틸리스제도,405.0
2020,앵귈라,9.0
2020,에리트레아,7.0
2020,에스토니아,869.0
2020,에콰도르,109843.25
2020,엘살바도르,5291.5
2020,영국,21566.5
2020,영국령 버진아일랜드,28.0
2020,예멘,58.0
2020,오만,12116.0
2020,오스트리아,0.0
2020,온두라스,5424.75
2020,왈리스 푸투나,0.0
2020,요르단,6350.0
2020,우루과이,6818.0
2020,우크라이나,15479.5
2020,원양어획지역,917.0
2020,이라크,865.25
2020,이란,15.0
2020,이스라엘,15042.25
2020,이집트,27652.75
2020,이탈리아,49566.75
2020,인도,90122.25
2020,인도네시아,185317.25
2020,일본,1712547.25
2020,자메이카,16808.25
2020,적도 기니,30.0
2020,조지아,2172.5
2020,중국,3831163.75
2020,지부티,504.0
2020,지브롤터,0.0
2020,차드,1.0
2020,체코,1.0
2020,칠레,255048.75
2020,카메룬,338.0
2020,카보 베르데,19.0
2020,카타르,6260.5
2020,캄보디아,5750.0
2020,캐나다,465154.5
2020,케냐,1577.0
2020,케이맨 제도,94.0
2020,코모로,2.0
2020,코스타리카,14340.75
2020,코트디부아르,464.0
2020,콜롬비아,90590.25
2020,콩고,25.0
2020,콩고 민주 공화국,146.0
2020,쿠바,3362.0
2020,쿠웨이트,1027.0
2020,쿡 제도,1.0
2020,퀴라소,26.0
2020,크로아티아,2461.5
2020,키리바시,1975.0
2020,키프로스,299.0
2020,탄자니아,708.0
2020,태국,186158.75
2020,토고,182.5
2020,통가,1060.0
