year,month,country,flow,total_teu,laden_teu,empty_teu,cumulative_total_teu,cumulative_laden_teu,cumulative_empty_teu,source_file
2022,1,가나,입항,57.0,57.0,0.0,57.0,57.0,0.0,컨테이너+국가별+전년대비+추이_20260922230318.xlsx
2022,1,가봉,입항,,,,,,,컨테이너+국가별+전년대비+추이_20260922230318.xlsx
2022,1,가이아나,입항,3.0,3.0,0.0,3.0,3.0,0.0,컨테이너+국가별+전년대비+추이_20260922230318.xlsx
2022,1,감비아,입항,2.0,2.0,0.0,2.0,2.0,0.0,컨테이너+국가별+전년대비+추이_20260922230318.xlsx
2022,1,과테말라,입항,284.0,214.0,70.0,284.0,214.0,70.0,컨테이너+국가별+전년대비+추이_20260922230318.xlsx
2022,1,괌,입항,137.0,64.0,73.0,137.0,64.0,73.0,컨테이너+국가별+전년대비+추이_20260922230318.xlsx
2022,1,그레나다,입항,,,,,,,컨테이너+국가별+전년대비+추이_20260922230318.xlsx
2022,1,그리스,입항,1067.0,494.0,573.0,1067.0,494.0,573.0,컨테이너+국가별+전년대비+추이_20260922230318.xlsx
2022,1,기니,입항,61.0,61.0,0.0,61.0,61.0,0.0,컨테이너+국가별+전년대비+추이_20260922230318.xlsx
2022,1,나미비아,입항,30.0,30.0,0.0,30.0,30.0,0.0,컨테이너+국가별+전년대비+추이_20260922230318.xlsx
2022,1,나이지리아,입항,167.0,167.0,0.0,167.0,167.0,0.0,컨테이너+국가별+전년대비+추이_20260922230318.xlsx
2022,1,남아프리카,입항,828.0,788.0,40.0,828.0,788.0,40.0,컨테이너+국가별+전년대비+추이_20260922230318.xlsx
2022,1,네덜란드,입항,6690.25,6155.25,535.0,6690.25,6155.25,535.0,컨테이너+국가별+전년대비+추이_20260922230318.xlsx
2022,1,노르웨이,입항,945.0,945.0,0.0,945.0,945.0,0.0,컨테이너+국가별+전년대비+추이_20260922230318.xlsx
2022,1,뉴질랜드,입항,4012.0,2788.0,1224.0,4012.0,2788.0,1224.0,컨테이너+국가별+전년대비+추이_20260922230318.xlsx
2022,1,뉴칼레도니아,입항,75.0,5.0,70.0,75.0,5.0,70.0,컨테이너+국가별+전년대비+추이_20260922230318.xlsx
2022,1,니카라과,입항,17.0,17.0,0.0,17.0,17.0,0.0,컨테이너+국가별+전년대비+추이_20260922230318.xlsx
2022,1,대만,입항,8769.75,6059.0,2710.75,8769.75,6059.0,2710.75,컨테이너+국가별+전년대비+추이_20260922230318.xlsx
